  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     155	 16:54:26	   1.995	   1.995	  103.99	 1002.63	   14.74	   145.6	  -226.7	   123.1	   272.9	    47.4	   108.8	 243.876	   1.213	   242.6	    20.0	  223882	   62.00	   -0.00	    2.24	    0.03	    0.00	  17.905	  15.017	  31.863	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     156	 16:55:40	   1.995	   1.995	  414.62	 1002.53	   15.00	   295.1	  -951.0	   490.2	  1181.1	   -60.6	   363.5	 471.945	   1.212	   971.7	    40.0	  447520	  123.00	   -0.00	   14.83	    0.03	    0.00	  18.434	  15.054	  37.939	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     157	 16:56:08	   1.995	   1.995	  413.47	 1002.60	   15.16	  1021.8	 -1201.6	   336.8	  1062.8	   548.6	   616.1	 472.319	   1.211	   969.0	    40.0	  446596	   98.00	   -0.00	    4.95	    0.03	    0.00	  19.190	  15.108	  35.709	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     158	 16:57:31	   1.995	   1.995	  104.04	 1002.51	   14.92	   316.6	  -289.1	    83.8	   245.7	   193.9	   163.4	 244.287	   1.212	   242.7	    20.0	  223746	   49.00	   -0.00	    0.57	    0.03	    0.00	  19.475	  15.129	  37.385	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     159	 17:02:07	   1.995	   1.995	  104.15	 1002.44	   14.68	   317.3	  -382.8	    62.5	   274.8	   188.7	   236.6	 244.349	   1.213	   243.0	    20.0	  224090	   49.00	   -0.00	    0.75	    0.03	    0.00	  18.241	  15.142	  28.881	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     160	 17:03:08	   1.995	   1.995	  413.55	 1002.38	   14.99	  1022.4	 -1601.9	   245.4	  1189.6	   506.1	   895.4	 472.373	   1.212	   969.2	    40.0	  446920	   98.00	   -0.00	    4.93	    0.03	    0.00	  18.041	  15.177	  35.574	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     161	 17:03:49	   1.995	   1.995	  412.70	 1002.39	   15.18	   290.2	 -1322.5	   402.9	  1296.7	  -107.3	   623.5	 471.279	   1.211	   967.2	    40.0	  446082	  122.99	   -0.00	   15.03	    0.03	    0.00	  18.404	  15.226	  37.675	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     162	 17:05:08	   1.995	   1.995	  103.88	 1002.35	   14.94	   145.8	  -325.0	    96.3	   301.6	    42.5	   174.4	 243.793	   1.212	   242.3	    20.0	  223529	   62.00	   -0.00	    1.80	    0.03	    0.00	  19.574	  15.239	  40.375	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     163	 17:10:40	   1.995	   1.995	  104.12	 1002.21	   14.66	   154.2	  -455.2	    60.4	   335.6	    49.3	   266.7	 243.570	   1.213	   242.9	    20.0	  224058	   62.00	   -0.00	    1.77	    0.03	    0.00	  18.430	  15.207	  41.221	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     164	 17:11:35	   1.995	   1.995	  413.86	 1002.22	   14.98	   314.7	 -1841.3	   258.6	  1431.1	   -80.3	   978.4	 470.586	   1.212	   969.9	    40.0	  447068	  123.00	   -0.00	   13.24	    0.03	    0.00	  18.778	  15.195	  42.610	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     165	 17:12:12	   1.995	   1.995	  412.62	 1002.26	   15.18	  1040.3	 -2106.2	   101.7	  1314.4	   531.1	  1239.7	 471.404	   1.211	   967.0	    40.0	  446026	   98.00	   -0.00	    4.61	    0.03	    0.00	  19.910	  15.248	  40.104	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
