  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     171	 17:29:22	   1.995	   1.995	  103.44	 1001.92	   14.64	   318.3	  -117.1	   133.4	   201.6	   189.7	    54.0	 243.325	   1.213	   241.3	    19.9	  223314	   49.00	   -0.00	    0.67	    0.03	    0.00	  18.297	  15.277	  29.773	   0.146	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     172	 17:30:23	   1.995	   1.995	  414.37	 1002.01	   15.00	  1035.3	  -558.2	   522.3	   904.3	   527.9	   179.0	 472.287	   1.211	   971.1	    40.0	  447267	   98.00	   -0.00	    5.56	    0.03	    0.00	  18.030	  15.242	  29.696	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     173	 17:31:00	   1.995	   1.995	  413.70	 1001.99	   15.17	   299.8	  -311.5	   672.6	  1021.8	   -91.0	   -71.0	 471.134	   1.211	   969.5	    40.0	  446560	  123.00	   -0.00	   16.08	    0.03	    0.00	  18.379	  15.282	  34.979	   0.146	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     174	 17:32:20	   1.995	   1.995	  103.78	 1001.94	   14.90	   149.2	   -71.9	   163.3	   233.3	    45.9	     1.1	 243.498	   1.212	   242.1	    20.0	  223410	   62.00	   -0.00	    1.84	    0.03	    0.00	  19.455	  15.270	  38.298	   0.146	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     175	 17:38:27	   1.995	   1.995	  103.81	 1001.78	   14.60	   149.8	    50.9	   189.5	   202.4	    53.4	  -100.3	 243.417	   1.213	   242.2	    20.0	  223729	   62.00	   -0.00	    2.22	    0.03	    0.00	  18.128	  15.246	  30.912	   0.145	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     176	 17:39:36	   1.995	   1.995	  412.82	 1001.70	   15.03	   342.0	   180.4	   788.1	   874.3	   -39.0	  -409.5	 470.912	   1.211	   967.4	    40.0	  446307	  123.00	   -0.00	   16.69	    0.03	    0.00	  18.978	  15.241	  33.774	   0.144	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     177	 17:40:05	   1.995	   1.995	  413.35	 1001.71	   15.15	  1080.2	   -80.8	   630.7	   756.3	   587.7	  -151.5	 472.228	   1.210	   968.7	    40.0	  446342	   98.01	   -0.00	    5.56	    0.03	    0.00	  19.868	  15.264	  31.493	   0.145	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     178	 17:41:25	   1.995	   1.995	  104.07	 1001.64	   14.91	   334.4	     8.6	   162.6	   161.5	   208.2	   -31.9	 244.209	   1.211	   242.8	    20.0	  223681	   49.00	   -0.00	    0.65	    0.03	    0.00	  20.030	  15.259	  34.613	   0.146	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     179	 17:45:53	   1.995	   1.995	  104.16	 1001.50	   14.67	   345.9	   155.2	   198.9	   121.0	   221.5	  -132.7	 244.313	   1.212	   243.0	    20.0	  224003	   49.00	   -0.00	    0.74	    0.03	    0.00	  18.487	  15.251	  28.846	   0.145	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     180	 17:46:48	   1.995	   1.995	  413.37	 1001.54	   14.97	  1176.1	   377.1	   730.5	   606.1	   690.5	  -445.1	 472.713	   1.211	   968.7	    40.0	  446674	   98.00	   -0.00	    5.57	    0.03	    0.00	  18.198	  15.234	  29.252	   0.144	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     181	 17:47:29	   1.995	   1.995	  413.44	 1001.53	   15.18	   454.5	   488.4	   834.3	   765.4	    87.0	  -626.0	 471.785	   1.210	   968.9	    40.0	  446304	  123.00	   -0.00	   16.43	    0.03	    0.00	  18.572	  15.276	  33.709	   0.145	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     182	 17:48:57	   1.995	   1.995	  103.92	 1001.57	   14.92	   179.1	   156.6	   215.9	   162.8	    80.2	  -154.7	 244.001	   1.211	   242.4	    20.0	  223508	   62.00	   -0.00	    1.88	    0.03	    0.00	  19.806	  15.262	  38.158	   0.145	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
