  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     130	   9.995	  10.000	  1.2715	0.104120	 0.11440	 0.12076	-0.139276	  1.2665	0.130747	 0.03161	-0.19588	-0.01855	0.082672	-0.130747	1.271483	 0.00652	-0.20933	-0.02441	    4.97	   -7.28	   71.25	    0.51	   -1.83	   -1.90	  103.36	 1002.90	   14.94	   1.213	   241.1	   19.94	1.733E+5	   0.059
     131	   9.995	   7.000	  1.2372	0.094939	 0.05856	 0.12185	-0.128975	  1.2336	0.069692	 0.02240	-0.18654	-0.00797	0.087095	-0.069692	1.237233	 0.00928	-0.20071	-0.01204	    5.29	   -3.94	   70.37	    0.73	   -1.78	   -0.95	  104.89	 1002.92	   14.91	   1.213	   244.7	   20.09	1.746E+5	   0.059
     132	   9.995	   3.000	  1.2118	0.078741	 0.05564	 0.16776	-0.135759	  1.2065	0.059680	 0.01012	-0.13387	-0.01144	0.075721	-0.059680	1.211787	-0.00180	-0.14619	-0.01340	    4.62	   -3.35	   68.53	   -0.14	   -1.26	   -1.05	  104.28	 1002.90	   14.88	   1.213	   243.3	   20.03	1.741E+5	   0.059
     133	   9.995	   0.005	  1.1535	0.075381	 0.00341	 0.16830	-0.125976	  1.1491	0.003414	 0.00274	-0.11896	 0.00421	0.075380	-0.003414	1.153487	 0.00289	-0.13123	 0.00379	    4.58	   -0.19	   64.97	    0.23	   -1.12	    0.30	  103.82	 1002.89	   14.86	   1.213	   242.2	   19.98	1.737E+5	   0.059
     134	   9.995	  -4.000	  1.2155	0.088276	-0.03915	 0.15691	-0.126948	  1.2119	-0.045209	-0.00683	-0.14606	 0.01467	0.085330	0.045209	1.215543	 0.00326	-0.15995	 0.01610	    5.16	    2.54	   68.66	    0.26	   -1.39	    1.27	  104.16	 1002.81	   14.85	   1.213	   243.0	   20.02	1.740E+5	   0.059
     135	   6.005	  -4.000	  0.9500	0.042890	-0.05067	 0.11214	-0.060345	  0.9489	-0.053542	-0.00637	-0.12508	 0.01857	0.039251	0.053542	0.950018	 0.00434	-0.13147	 0.01935	    2.63	    3.02	   54.20	    0.34	   -1.13	    1.53	  104.54	 1002.82	   14.82	   1.213	   243.9	   20.05	1.744E+5	   0.059
     136	   6.005	  -0.005	  0.9371	0.035493	 0.00747	 0.12021	-0.062729	  0.9357	0.007463	 0.00198	-0.11370	 0.00318	0.035494	-0.007463	0.937091	 0.00109	-0.11948	 0.00299	    2.41	   -0.42	   53.43	    0.09	   -1.02	    0.24	  104.46	 1002.75	   14.82	   1.213	   243.7	   20.04	1.743E+5	   0.059
     137	   6.005	   3.000	  0.9431	0.037721	 0.06458	 0.10801	-0.064560	  0.9416	0.066467	 0.00921	-0.12738	-0.01461	0.034289	-0.066467	0.943149	-0.00320	-0.13296	-0.01566	    2.35	   -3.74	   53.78	   -0.25	   -1.15	   -1.23	  104.47	 1002.82	   14.80	   1.213	   243.7	   20.04	1.743E+5	   0.059
     138	   6.005	   7.000	  0.9650	0.053195	 0.07235	 0.06590	-0.057211	  0.9643	0.078291	 0.02180	-0.17518	-0.01130	0.043981	-0.078291	0.965036	 0.00775	-0.18234	-0.01366	    2.89	   -4.40	   54.96	    0.61	   -1.60	   -1.08	  104.37	 1002.84	   14.80	   1.213	   243.5	   20.03	1.742E+5	   0.059
     139	   6.005	  10.000	  0.9713	0.064480	 0.12987	 0.04787	-0.060881	  0.9702	0.139097	 0.03052	-0.19469	-0.02260	0.040948	-0.139097	0.971280	 0.00533	-0.20135	-0.02594	    2.72	   -7.84	   55.40	    0.42	   -1.78	   -2.05	  104.54	 1002.74	   14.80	   1.213	   243.9	   20.05	1.744E+5	   0.059
