  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     171	   1.995	   1.995	  0.4415	0.044777	 0.02026	 0.01709	0.028645	  0.4428	0.021809	 0.00034	-0.09360	-0.00436	0.044044	-0.021809	0.441500	-0.00336	-0.10077	-0.00438	    2.91	   -1.22	   25.16	   -0.26	   -0.80	   -0.34	  103.44	 1001.92	   14.64	   1.213	   241.3	   19.95	1.735E+5	   0.059
     172	   1.995	   1.995	  0.4383	0.035228	 0.02870	 0.01130	0.018927	  0.4392	0.029911	 0.00196	-0.09850	-0.00364	0.034207	-0.029911	0.438253	-0.00304	-0.10406	-0.00371	    9.50	   -6.71	  100.51	   -0.95	   -3.35	   -1.17	  414.37	 1002.01	   15.00	   1.211	   971.1	   40.04	3.475E+5	   0.118
     173	   1.995	   1.995	  0.4444	0.004971	 0.02600	-0.01679	-0.011413	  0.4443	0.026159	 0.00239	-0.12786	 0.00156	0.004063	-0.026159	0.444400	-0.00182	-0.12852	 0.00148	    2.73	   -5.86	  101.72	   -0.57	   -4.25	    0.46	  413.70	 1001.99	   15.17	   1.211	   969.5	   40.02	3.470E+5	   0.118
     174	   1.995	   1.995	  0.4444	0.016753	 0.01995	-0.01116	0.000565	  0.4447	0.020524	 0.00134	-0.12233	 0.00008	0.016048	-0.020524	0.444401	-0.00199	-0.12494	 0.00004	    1.35	   -1.15	   25.40	   -0.16	   -1.03	    0.00	  103.78	 1001.94	   14.90	   1.212	   242.1	   19.99	1.736E+5	   0.059
     175	   1.995	   1.995	  0.4423	0.016417	 0.00727	-0.00178	0.000743	  0.4426	0.007841	-0.00327	-0.11244	 0.00835	0.016154	-0.007841	0.442323	-0.00426	-0.11507	 0.00847	    1.36	   -0.44	   25.29	   -0.33	   -0.94	    0.66	  103.81	 1001.78	   14.60	   1.213	   242.2	   19.98	1.738E+5	   0.059
     176	   1.995	   1.995	  0.4422	0.006165	 0.00956	-0.01013	-0.009573	  0.4422	0.009764	-0.00176	-0.12067	 0.00847	0.005828	-0.009764	0.442233	-0.00305	-0.12162	 0.00853	    3.12	   -2.18	  101.02	   -0.95	   -3.98	    2.67	  412.82	 1001.70	   15.03	   1.211	   967.4	   39.97	3.468E+5	   0.117
     177	   1.995	   1.995	  0.4350	0.036632	 0.01289	 0.01978	0.020992	  0.4360	0.014154	-0.00219	-0.08923	 0.00308	0.036161	-0.014154	0.435034	-0.00439	-0.09511	 0.00316	    9.91	   -3.17	   99.53	   -1.37	   -3.01	    0.99	  413.35	 1001.71	   15.15	   1.210	   968.7	   40.01	3.468E+5	   0.118
     178	   1.995	   1.995	  0.4349	0.046502	 0.00319	 0.02545	0.031192	  0.4363	0.004807	-0.00425	-0.08361	 0.00263	0.046363	-0.004807	0.434902	-0.00494	-0.09116	 0.00278	    3.06	   -0.27	   24.94	   -0.39	   -0.72	    0.22	  104.07	 1001.64	   14.91	   1.211	   242.8	   20.02	1.738E+5	   0.059
     179	   1.995	   1.995	  0.4356	0.047665	-0.01642	 0.03252	0.033011	  0.4370	-0.014749	-0.00882	-0.07674	 0.01083	0.048208	0.014749	0.435623	-0.00604	-0.08459	 0.01114	    3.16	    0.83	   25.00	   -0.47	   -0.66	    0.88	  104.16	 1001.50	   14.67	   1.212	   243.0	   20.02	1.740E+5	   0.059
     180	   1.995	   1.995	  0.4324	0.039993	-0.00371	 0.03076	0.025018	  0.4335	-0.002316	-0.00562	-0.07763	 0.00907	0.040098	0.002316	0.432415	-0.00492	-0.08415	 0.00927	   10.79	    0.52	   98.95	   -1.54	   -2.60	    2.90	  413.37	 1001.54	   14.97	   1.211	   968.7	   40.00	3.471E+5	   0.118
     181	   1.995	   1.995	  0.4382	0.010415	-0.00064	 0.00450	-0.004831	  0.4383	-0.000281	-0.00402	-0.10507	 0.01287	0.010432	0.000281	0.438174	-0.00352	-0.10676	 0.01302	    4.16	    0.06	  100.26	   -1.10	   -3.44	    4.08	  413.44	 1001.53	   15.18	   1.210	   968.9	   40.02	3.468E+5	   0.118
     182	   1.995	   1.995	  0.4391	0.020552	-0.01105	 0.00526	0.005623	  0.4396	-0.010327	-0.00636	-0.10463	 0.01276	0.020925	0.010327	0.439093	-0.00423	-0.10803	 0.01299	    1.63	    0.58	   25.14	   -0.33	   -0.87	    1.02	  103.92	 1001.57	   14.92	   1.211	   242.4	   20.01	1.737E+5	   0.059
