  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 15:13:04	  -3.000	  -4.000	 1005.53	   14.04	    -7.4	     2.8	    -2.0	    -2.0	     6.5	    -6.0
       0	 15:13:59	  -3.000	  -0.005	 1005.49	   14.03	     4.7	    -4.0	    -2.6	    -1.9	     7.2	     2.3
       0	 15:14:36	  -3.000	   3.000	 1005.50	   14.03	     3.6	    -1.0	    -3.9	    -1.2	     8.3	     2.6
       0	 15:15:09	  -3.000	   7.000	 1005.49	   14.04	     4.2	     5.2	    -5.1	    -0.3	     9.3	     3.7
       0	 15:15:39	  -3.000	  10.000	 1005.42	   14.02	     4.2	    12.0	    -7.0	     0.6	    11.8	     1.1
       0	 15:16:06	  -0.005	  10.000	 1005.41	   14.02	     0.8	    12.0	    -6.0	     4.2	     4.8	    -0.2
       0	 15:16:45	  -0.005	   7.000	 1005.39	   14.02	     2.6	     8.7	    -3.5	     2.8	     1.6	     1.5
       0	 15:17:14	  -0.005	   2.995	 1005.36	   14.02	     2.5	     2.1	    -2.2	     2.3	     0.5	    -0.2
       0	 15:17:38	  -0.005	   0.005	 1005.35	   14.02	     2.8	    -0.6	    -1.3	     1.6	    -0.4	    -1.4
       0	 15:18:09	   2.000	   1.995	 1005.35	   14.02	     1.9	    -0.6	    -5.2	     0.3	    15.5	     1.9
       0	 15:18:54	   0.005	  -4.000	 1005.28	   14.02	    -9.8	     3.2	    -1.0	     0.4	    -0.8	    -5.0
       0	 15:19:25	   2.995	  -4.000	 1005.31	   14.02	   -13.7	     2.0	    -7.0	    -2.5	    26.3	    -4.5
       0	 15:19:54	   2.995	  -0.005	 1005.29	   14.02	    -1.2	    -4.6	    -7.8	    -2.5	    29.0	     2.2
       0	 15:20:20	   2.995	   3.000	 1005.28	   14.02	    -2.1	    -1.6	    -9.0	    -1.5	    30.6	     2.3
       0	 15:20:49	   2.995	   7.000	 1005.29	   14.02	     0.3	     5.0	   -10.3	    -1.2	    31.9	     3.9
       0	 15:21:19	   2.995	  10.000	 1005.28	   14.02	     0.4	    11.1	   -12.1	    -0.3	    35.0	     0.8
       0	 15:21:48	   6.000	  10.000	 1005.22	   14.02	    -2.5	    11.7	   -24.5	   -11.9	    97.1	     1.0
       0	 15:22:18	   6.000	   6.995	 1005.26	   14.02	    -2.1	     8.4	   -22.3	   -13.2	    93.6	    -0.4
       0	 15:22:45	   6.000	   3.000	 1005.19	   14.02	    -1.8	     1.8	   -21.1	   -13.6	    92.6	    -0.2
       0	 15:23:13	   6.000	   0.005	 1005.23	   14.02	    -1.3	    -1.0	   -19.7	   -14.2	    91.4	    -0.9
       0	 15:23:41	   6.000	  -4.000	 1005.20	   14.02	   -11.0	     2.2	   -19.9	   -13.9	    91.3	    -5.1
       0	 15:24:13	  10.000	  -4.000	 1005.19	   14.02	   -12.7	     0.1	   -47.2	   -39.7	   227.3	    -4.0
       0	 15:24:41	  10.000	  -0.005	 1005.13	   14.02	    -3.2	    -5.6	   -48.0	   -39.4	   229.0	     2.9
       0	 15:25:07	  10.000	   3.000	 1005.16	   14.02	    -3.5	    -2.2	   -49.0	   -39.0	   231.1	     3.2
       0	 15:25:35	  10.000	   7.000	 1005.17	   14.02	    -3.4	     4.7	   -50.3	   -38.8	   232.2	     3.4
       0	 15:26:07	  10.000	  10.000	 1005.13	   14.02	    -1.0	    11.5	   -52.4	   -38.0	   235.2	     0.5
