  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     130	 16:43:28	   9.995	  10.000	  103.36	 1002.90	   14.94	   538.1	  -670.0	   223.0	   741.9	   266.5	   290.3	 247.249	   1.213	   241.1	    19.9	  223032	   62.00	   -0.00	    2.35	    0.03	    0.00	  17.498	  15.326	  31.980	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     131	 16:43:50	   9.995	   7.000	  104.89	 1002.92	   14.91	   572.5	  -354.6	   313.6	   626.2	   293.8	   146.8	 248.260	   1.213	   244.7	    20.1	  224718	   62.00	   -0.00	    2.21	    0.03	    0.00	  17.536	  15.307	  31.925	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     132	 16:44:16	   9.995	   3.000	  104.28	 1002.90	   14.88	   499.6	  -336.9	   349.1	   567.8	   286.1	   160.9	 247.229	   1.213	   243.3	    20.0	  224084	   62.00	   -0.00	    2.20	    0.03	    0.00	  17.590	  15.287	  31.960	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     133	 16:44:37	   9.995	   0.005	  103.82	 1002.89	   14.86	   497.6	    22.5	   439.3	   470.6	   285.3	   -47.3	 246.198	   1.213	   242.2	    20.0	  223610	   62.00	   -0.00	    2.22	    0.03	    0.00	  17.626	  15.277	  31.968	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     134	 16:45:02	   9.995	  -4.000	  104.16	 1002.81	   14.85	   547.5	   309.2	   524.6	   382.2	   310.7	  -200.1	 247.198	   1.213	   243.0	    20.0	  223969	   62.00	   -0.00	    2.17	    0.03	    0.00	  17.680	  15.270	  31.936	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     135	 16:45:33	   6.005	  -4.000	  104.54	 1002.82	   14.82	   272.4	   370.1	   457.1	   288.7	   125.0	  -240.0	 246.212	   1.213	   243.9	    20.1	  224415	   62.00	   -0.00	    2.14	    0.03	    0.00	  17.735	  15.253	  31.845	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     136	 16:45:56	   6.005	  -0.005	  104.46	 1002.75	   14.82	   259.6	    -3.8	   347.8	   388.2	   124.2	   -34.2	 245.256	   1.213	   243.7	    20.0	  224321	   62.00	   -0.00	    2.20	    0.03	    0.00	  17.757	  15.241	  31.870	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     137	 16:46:19	   6.005	   3.000	  104.47	 1002.82	   14.80	   251.9	  -382.6	   255.0	   492.1	   110.1	   188.6	 245.825	   1.213	   243.7	    20.0	  224361	   62.00	   -0.00	    2.29	    0.03	    0.00	  17.783	  15.223	  31.880	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     138	 16:46:41	   6.005	   7.000	  104.37	 1002.84	   14.80	   311.0	  -398.2	   213.3	   548.3	   112.0	   165.6	 246.829	   1.213	   243.5	    20.0	  224255	   62.00	   -0.00	    2.22	    0.03	    0.00	  17.802	  15.204	  31.867	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     139	 16:47:03	   6.005	  10.000	  104.54	 1002.74	   14.80	   293.7	  -721.5	   114.5	   663.9	    87.8	   312.1	 247.273	   1.213	   243.9	    20.1	  224428	   62.00	   -0.00	    2.24	    0.03	    0.00	  17.810	  15.192	  31.887	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     140	 16:47:28	   3.000	  10.000	  104.60	 1002.73	   14.79	   214.4	  -752.7	   -14.3	   552.2	    19.4	   336.0	 246.978	   1.213	   244.0	    20.1	  224490	   62.00	   -0.00	    2.17	    0.03	    0.00	  17.821	  15.172	  31.840	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     141	 16:47:51	   3.000	   7.000	  104.73	 1002.72	   14.78	   235.5	  -372.9	    94.7	   413.3	    62.7	   152.7	 246.584	   1.213	   244.3	    20.1	  224646	   62.00	   -0.00	    2.23	    0.03	    0.00	  17.826	  15.147	  31.821	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     142	 16:48:25	   3.000	   3.000	  104.56	 1002.73	   14.78	   163.2	  -353.6	   138.5	   358.0	    48.4	   175.7	 244.548	   1.213	   243.9	    20.1	  224468	   62.00	   -0.00	    2.20	    0.03	    0.00	  17.834	  15.127	  31.859	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     143	 16:49:02	   3.000	   0.005	  104.02	 1002.65	   14.75	   166.6	     0.3	   222.0	   259.5	    62.1	   -41.5	 243.830	   1.213	   242.7	    20.0	  223906	   62.00	   -0.00	    2.13	    0.03	    0.00	  17.863	  15.129	  31.824	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     144	 16:49:28	   3.000	  -4.000	  104.42	 1002.70	   14.74	   183.7	   396.8	   333.6	   151.1	    69.8	  -257.3	 244.929	   1.213	   243.6	    20.0	  224346	   62.00	   -0.00	    2.20	    0.03	    0.00	  17.871	  15.112	  31.815	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     145	 16:49:56	   0.000	  -4.000	  103.83	 1002.67	   14.74	   136.4	   475.0	   215.3	   -11.8	    59.1	  -308.0	 243.868	   1.213	   242.2	    20.0	  223714	   61.99	   -0.00	    2.10	    0.03	    0.00	  17.871	  15.088	  31.826	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     146	 16:50:20	   0.000	  -0.005	  103.92	 1002.71	   14.74	   129.1	     5.5	    78.6	   117.3	    62.4	   -54.1	 243.409	   1.213	   242.4	    20.0	  223818	   62.00	   -0.00	    2.11	    0.03	    0.00	  17.869	  15.078	  31.857	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     147	 16:50:43	   0.000	   3.000	  104.19	 1002.70	   14.74	   116.4	  -372.1	    -9.4	   218.4	    46.6	   188.9	 243.818	   1.213	   243.1	    20.0	  224098	   62.00	   -0.00	    2.26	    0.03	    0.00	  17.874	  15.064	  31.868	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     148	 16:51:08	   0.000	   7.000	  103.61	 1002.74	   14.74	   128.1	  -714.6	  -106.9	   342.0	    27.5	   358.0	 244.400	   1.213	   241.7	    20.0	  223481	   62.00	   -0.00	    2.10	    0.03	    0.00	  17.879	  15.052	  31.852	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     149	 16:51:30	   0.000	  10.000	  103.69	 1002.73	   14.74	   171.2	  -803.9	  -170.6	   420.5	    23.1	   370.0	 245.133	   1.213	   241.9	    20.0	  223567	   62.00	   -0.00	    2.04	    0.03	    0.00	  17.867	  15.047	  31.830	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     150	 16:51:50	  -3.000	  10.000	  104.00	 1002.72	   14.74	   187.2	  -852.2	  -353.3	   268.5	   124.9	   393.2	 245.377	   1.213	   242.6	    20.0	  223898	   62.00	   -0.00	    2.22	    0.03	    0.00	  17.870	  15.036	  31.842	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     151	 16:52:13	  -3.000	   7.000	  104.16	 1002.71	   14.74	   206.2	  -469.0	  -240.2	   128.9	   153.9	   213.2	 244.930	   1.213	   243.0	    20.0	  224071	   62.00	   -0.00	    2.05	    0.03	    0.00	  17.878	  15.029	  31.835	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     152	 16:52:40	  -3.000	   3.000	  105.07	 1002.68	   14.74	   132.7	  -401.8	  -182.0	    61.8	   133.3	   204.4	 244.378	   1.213	   245.1	    20.1	  225040	   62.00	   -0.00	    2.15	    0.03	    0.00	  17.894	  15.030	  31.834	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     153	 16:53:07	  -3.000	   0.005	  103.98	 1002.72	   14.74	   142.2	    26.8	   -77.3	   -54.7	   147.2	   -66.8	 243.359	   1.213	   242.6	    20.0	  223875	   62.00	   -0.00	    2.08	    0.03	    0.00	  17.902	  15.032	  31.833	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     154	 16:53:34	  -3.000	  -4.000	  104.02	 1002.69	   14.74	   145.8	   530.9	    70.7	  -196.8	   147.7	  -337.6	 243.871	   1.213	   242.7	    20.0	  223919	   62.00	   -0.00	    2.19	    0.03	    0.00	  17.895	  15.027	  31.796	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
