  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     104	  10.000	  10.000	  1.2763	0.126563	 0.11209	 0.15769	-0.118041	  1.2751	0.132368	 0.02957	-0.16109	-0.02284	0.105175	-0.132368	1.276261	 0.00348	-0.17821	-0.02840	    6.29	   -7.46	   72.33	    0.27	   -1.56	   -2.24	  104.54	 1003.23	   15.46	   1.211	   243.9	   20.07	1.739E+5	   0.059
     105	  10.000	   7.000	  1.2229	0.121263	 0.05570	 0.15687	-0.100509	  1.2241	0.070064	 0.02087	-0.14914	-0.01186	0.113571	-0.070064	1.222915	 0.00702	-0.16762	-0.01572	    6.79	   -3.96	   69.56	    0.56	   -1.47	   -1.24	  104.89	 1003.17	   15.40	   1.211	   244.7	   20.10	1.742E+5	   0.059
     106	  10.000	   3.000	  1.1945	0.105866	 0.05653	 0.20612	-0.106217	  1.1942	0.061998	 0.00877	-0.09242	-0.01590	0.102762	-0.061998	1.194486	-0.00430	-0.10914	-0.01770	    6.13	   -3.48	   67.45	   -0.34	   -0.92	   -1.39	  104.12	 1003.25	   15.37	   1.211	   242.9	   20.03	1.736E+5	   0.059
     107	  10.000	   0.005	  1.1334	0.103688	 0.00466	 0.20833	-0.094705	  1.1342	0.004665	 0.00109	-0.07523	-0.00025	0.103688	-0.004665	1.133440	 0.00027	-0.09210	-0.00044	    6.19	   -0.26	   64.12	    0.02	   -0.76	   -0.03	  104.27	 1003.20	   15.32	   1.212	   243.2	   20.04	1.738E+5	   0.059
     108	  10.000	  -4.000	  1.1908	0.116233	-0.03712	 0.20341	-0.095141	  1.1924	-0.045143	-0.00920	-0.09469	 0.01070	0.113360	0.045143	1.190799	 0.00020	-0.11313	 0.01249	    6.70	    2.52	   66.97	    0.02	   -0.95	    0.98	  103.70	 1003.21	   15.28	   1.212	   241.9	   19.98	1.733E+5	   0.059
     109	   6.005	  -4.000	  0.9316	0.071068	-0.04716	 0.15123	-0.030222	  0.9336	-0.052000	-0.00751	-0.08217	 0.01416	0.067606	0.052000	0.931638	 0.00249	-0.09317	 0.01503	    4.24	    2.94	   53.32	    0.20	   -0.78	    1.19	  104.84	 1003.14	   15.24	   1.212	   244.6	   20.09	1.743E+5	   0.059
     110	   6.005	  -0.005	  0.9225	0.063827	 0.00893	 0.15268	-0.033025	  0.9241	0.008920	 0.00068	-0.07836	-0.00135	0.063828	-0.008920	0.922523	-0.00092	-0.08874	-0.00143	    4.01	   -0.50	   52.64	   -0.07	   -0.74	   -0.11	  104.52	 1003.11	   15.23	   1.212	   243.8	   20.06	1.741E+5	   0.059
     111	   6.005	   3.000	  0.9306	0.065376	 0.06562	 0.14370	-0.035832	  0.9319	0.068953	 0.00805	-0.08928	-0.01932	0.061852	-0.068953	0.930576	-0.00526	-0.09934	-0.02028	    3.86	   -3.85	   52.60	   -0.41	   -0.83	   -1.58	  103.54	 1003.08	   15.19	   1.212	   241.5	   19.97	1.733E+5	   0.059
     112	   6.005	   7.000	  0.9546	0.080372	 0.07022	 0.09943	-0.029037	  0.9568	0.079489	 0.02068	-0.13979	-0.01561	0.071215	-0.079489	0.954630	 0.00599	-0.15137	-0.01787	    4.38	   -4.43	   53.90	    0.47	   -1.30	   -1.39	  103.48	 1003.15	   15.18	   1.212	   241.4	   19.96	1.732E+5	   0.059
     113	   6.005	  10.000	  0.9606	0.091179	 0.12590	 0.07696	-0.032925	  0.9624	0.139824	 0.02957	-0.16365	-0.02655	0.067931	-0.139824	0.960572	 0.00385	-0.17470	-0.02981	    4.22	   -7.83	   54.47	    0.30	   -1.53	   -2.34	  103.91	 1003.16	   15.16	   1.212	   242.4	   20.00	1.736E+5	   0.059
     114	   3.000	  10.000	  0.6749	0.079139	 0.13454	-0.01947	0.019179	  0.6768	0.146239	 0.03029	-0.18867	-0.03130	0.054574	-0.146239	0.674853	 0.00481	-0.19755	-0.03293	    3.51	   -8.22	   38.58	    0.38	   -1.71	   -2.59	  104.36	 1003.14	   15.14	   1.212	   243.5	   20.04	1.740E+5	   0.059
     115	   3.000	   7.000	  0.6586	0.066970	 0.06929	 0.02192	0.023474	  0.6608	0.076940	 0.01994	-0.14328	-0.01661	0.058025	-0.076940	0.658646	 0.00652	-0.15272	-0.01768	    3.69	   -4.31	   37.53	    0.51	   -1.29	   -1.39	  103.96	 1003.09	   15.12	   1.212	   242.5	   20.00	1.737E+5	   0.059
     116	   3.000	   3.000	  0.6340	0.050769	 0.06037	 0.06542	0.014293	  0.6356	0.062947	 0.00690	-0.09348	-0.01877	0.047539	-0.062947	0.633979	-0.00433	-0.10121	-0.01916	    3.12	   -3.54	   36.31	   -0.34	   -0.82	   -1.51	  104.44	 1003.09	   15.11	   1.212	   243.6	   20.05	1.741E+5	   0.059
     117	   3.000	   0.005	  0.5723	0.048686	 0.01156	 0.07444	0.018667	  0.5740	0.011565	 0.00119	-0.06907	-0.00152	0.048685	-0.011565	0.572262	-0.00077	-0.07699	-0.00159	    3.17	   -0.65	   32.68	   -0.06	   -0.59	   -0.12	  103.93	 1003.09	   15.06	   1.212	   242.4	   20.00	1.737E+5	   0.059
     118	   3.000	  -4.000	  0.6318	0.056031	-0.04959	 0.08003	0.019295	  0.6337	-0.053375	-0.00700	-0.07840	 0.01553	0.052436	0.053375	0.631844	 0.00251	-0.08693	 0.01592	    3.38	    3.00	   36.08	    0.20	   -0.69	    1.25	  104.13	 1003.12	   15.04	   1.213	   242.9	   20.02	1.739E+5	   0.059
     119	   0.000	  -4.000	  0.3256	0.048484	-0.06079	 0.03428	0.044125	  0.3256	-0.064028	-0.00847	-0.04711	 0.01972	0.044125	0.064028	0.325559	 0.00194	-0.05429	 0.01972	    2.98	    3.61	   18.84	    0.15	   -0.36	    1.56	  104.58	 1003.13	   15.04	   1.213	   244.0	   20.06	1.743E+5	   0.059
     120	   0.000	  -0.005	  0.3195	0.040715	 0.01318	 0.03678	0.040716	  0.3195	0.013176	 0.00045	-0.04308	-0.00054	0.040716	-0.013176	0.319456	-0.00169	-0.04970	-0.00054	    2.75	   -0.73	   18.24	   -0.13	   -0.31	   -0.04	  103.11	 1003.05	   15.02	   1.213	   240.5	   19.92	1.730E+5	   0.059
     121	   0.000	   3.000	  0.3270	0.042265	 0.06505	 0.02490	0.038802	  0.3270	0.067174	 0.00716	-0.05684	-0.02106	0.038802	-0.067174	0.326957	-0.00377	-0.06315	-0.02106	    2.68	   -3.78	   18.88	   -0.30	   -0.44	   -1.66	  104.31	 1003.05	   15.02	   1.213	   243.4	   20.03	1.740E+5	   0.059
     122	   0.000	   7.000	  0.3543	0.056299	 0.12399	 0.00033	0.040768	  0.3543	0.129923	 0.01542	-0.08825	-0.03483	0.040769	-0.129923	0.354333	-0.00572	-0.09488	-0.03483	    2.78	   -7.28	   20.34	   -0.45	   -0.73	   -2.73	  103.95	 1003.09	   15.02	   1.213	   242.5	   20.00	1.737E+5	   0.059
     123	   0.000	  10.000	  0.3671	0.073600	 0.14322	-0.05284	0.047610	  0.3671	0.153829	 0.02976	-0.14461	-0.03577	0.047611	-0.153829	0.367085	 0.00473	-0.15236	-0.03577	    3.17	   -8.63	   21.09	    0.37	   -1.27	   -2.81	  104.12	 1003.09	   15.01	   1.213	   242.9	   20.01	1.739E+5	   0.059
     124	  -3.000	  10.000	  0.0508	0.076418	 0.15111	-0.01565	0.051608	  0.0481	0.162081	 0.02952	-0.02769	-0.03922	0.049017	-0.162081	0.050781	 0.00517	-0.03566	-0.03773	    3.30	   -9.10	    3.19	    0.41	   -0.16	   -2.97	  104.21	 1002.94	   15.00	   1.213	   243.1	   20.03	1.740E+5	   0.059
